-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,,,,
Dates (month/day/year): 12/01/2019 through 03/07/2021 ,,,,,,,,,,,,,,
Location: Latitude  23.685   Longitude 90.3563 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 8.81 meters   Site = na ,,,,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) ,,,,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,T2M_RANGE,T2MDEW,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS50M
23.68501,90.35631,2020,5,10,13.17,18.97,72.68,7.94,24.43,33.14,25.19,29.73,1.87,1.42
23.68501,90.35631,2020,5,11,4.1,18.77,72.39,6.05,24.25,32.71,26.66,29.62,3.01,1.6
23.68501,90.35631,2020,5,12,2.16,19,74.87,7.3,24.42,33.05,25.74,29.22,6.21,2.76
23.68501,90.35631,2020,5,13,0.54,19.57,80.32,7.63,24.85,32.64,25.01,28.5,3.29,5.18
23.68501,90.35631,2020,5,14,12.2,20.09,81.38,7.74,25.28,32.69,24.95,28.72,2.15,3.95
23.68501,90.35631,2020,5,15,16.51,20.45,82.2,7.3,25.54,32.65,25.35,28.83,2.56,3.91
23.68501,90.35631,2020,5,16,15.2,21.1,83.28,8.21,26.04,33.44,25.22,29.12,2.71,5.21
23.68501,90.35631,2020,5,17,20.68,20.83,80.8,8.57,25.85,33.86,25.29,29.42,5.12,3.7
23.68501,90.35631,2020,5,18,0.32,21.06,81.33,7.84,25.99,33.55,25.71,29.47,3.04,3.17
23.68501,90.35631,2020,5,19,3.29,18.85,77.82,5.98,24.17,31.48,25.5,28.32,4.41,3.5
23.68501,90.35631,2020,5,20,39.39,19.56,85.78,7.77,24.63,31.46,23.69,27.2,15.2,12.33
23.68501,90.35631,2020,5,21,57.08,19.95,87.03,3.76,24.94,29.67,25.92,27.27,13.44,13.54
23.68501,90.35631,2020,5,22,8.2,20.28,82.87,7.06,25.36,32.23,25.18,28.51,4.25,5.18
23.68501,90.35631,2020,5,23,0.92,21.26,83.63,7.98,26.18,33.45,25.47,29.19,2.78,5.79
23.68501,90.35631,2020,5,24,13.75,21.93,86.1,7.35,26.67,33.34,25.99,29.21,2.63,7.76
23.68501,90.35631,2020,5,25,9.29,21.77,85.91,6.54,26.55,33.14,26.6,29.12,3.99,9.28
23.68501,90.35631,2020,5,26,11.13,21.13,85.62,5.99,26.04,32.41,26.42,28.67,3.85,9.59
23.68501,90.35631,2020,5,27,69.85,21.49,89.35,5.55,26.31,31.59,26.04,28.23,3.46,7.67
23.68501,90.35631,2020,5,28,27.77,20.17,86.04,5.59,25.28,30.89,25.3,27.8,4.44,3.79
23.68501,90.35631,2020,5,29,22.18,20.21,85.27,6.07,25.33,31.14,25.07,28,2.95,3.3
23.68501,90.35631,2020,5,30,14.66,20.87,86.06,6.3,25.87,31.88,25.58,28.4,2.45,4.28
23.68501,90.35631,2020,5,31,7.7,20.58,83.99,5.63,25.68,31.34,25.71,28.61,3.73,2.71
23.68501,90.35631,2020,6,1,4.84,21.18,88.17,4.91,26.12,30.85,25.94,28.26,3.02,5.17
23.68501,90.35631,2020,6,2,7.19,21.51,89.84,4.96,26.35,30.79,25.84,28.17,1.77,5.81
23.68501,90.35631,2020,6,3,8.01,21.07,88.12,4.91,26,30.84,25.94,28.14,1.73,6.03
23.68501,90.35631,2020,6,4,30.94,21.51,88.27,5.82,26.34,31.8,25.99,28.46,2.12,4.99
23.68501,90.35631,2020,6,5,16.27,21.63,91.37,4.03,26.4,30.07,26.03,27.95,3.18,5.07
23.68501,90.35631,2020,6,6,14.5,21.99,91.96,2.94,26.66,29.77,26.84,28.1,2.89,5.42
23.68501,90.35631,2020,6,7,10.94,21.52,85.7,6.06,26.31,32.16,26.1,28.92,3.44,3.24
23.68501,90.35631,2020,6,8,14.44,21.61,87.3,5.2,26.37,31.46,26.26,28.68,1.69,3.63
23.68501,90.35631,2020,6,9,9.42,21.72,84.48,5.87,26.49,32.28,26.42,29.34,2.46,2.39
23.68501,90.35631,2020,6,10,16.13,22.01,89.91,3.64,26.67,30.22,26.59,28.48,2.04,3.38
23.68501,90.35631,2020,6,11,16.98,22.48,93.95,3.15,26.99,29.62,26.47,28.07,5.84,4.91
23.68501,90.35631,2020,6,12,7.61,22.26,91.52,4.74,26.82,31.05,26.31,28.34,3.2,6.29
23.68501,90.35631,2020,6,13,40.76,23.03,94.8,2.65,27.39,29.83,27.18,28.32,1.74,6.08
23.68501,90.35631,2020,6,14,9.53,22.76,92.86,3.68,27.22,30.54,26.85,28.49,2.64,5.69
23.68501,90.35631,2020,6,15,13.47,23.07,92.44,4.55,27.43,31.19,26.64,28.78,1.59,5.16
23.68501,90.35631,2020,6,16,16.16,22.16,89.49,4.45,26.74,31.3,26.85,28.64,2.4,5.64
23.68501,90.35631,2020,6,17,34.35,22.41,94.35,2.28,26.89,29.06,26.78,27.9,4.73,6.48
23.68501,90.35631,2020,6,18,17.04,22.26,92.86,3.79,26.82,30.05,26.26,28.09,2.51,7.37
23.68501,90.35631,2020,6,19,18.12,22.39,89.92,5.41,26.94,31.76,26.35,28.76,2.86,5.8
23.68501,90.35631,2020,6,20,20.44,22.48,90.79,4.28,27.01,31.02,26.75,28.67,1.84,5.44
23.68501,90.35631,2020,6,21,9.36,22.04,90.76,4.61,26.65,31.05,26.44,28.31,2.88,6.93
23.68501,90.35631,2020,6,22,4.43,21.82,89.85,4.59,26.51,30.73,26.14,28.33,2.9,6.94
23.68501,90.35631,2020,6,23,6.1,22.35,88.91,5.56,26.96,32.01,26.46,28.97,1.25,5.79
23.68501,90.35631,2020,6,24,4.98,22.42,88.3,5.78,27.04,32.15,26.37,29.16,2.57,5.1
23.68501,90.35631,2020,6,25,2.54,22.63,90.08,4.81,27.16,31.55,26.74,28.95,2.28,6.51
23.68501,90.35631,2020,6,26,7.12,22.66,92.6,3.36,27.15,30.28,26.92,28.48,1.88,6.97
23.68501,90.35631,2020,6,27,18.55,22.01,89.67,4.09,26.67,30.97,26.88,28.53,1.54,6.91
23.68501,90.35631,2020,6,28,6.01,21.29,90.02,4.07,26.12,30.42,26.34,27.91,2.76,6.45
23.68501,90.35631,2020,6,29,9.76,21.2,86.11,6.4,26.08,32.17,25.77,28.61,4.06,4.15
23.68501,90.35631,2020,6,30,4.73,22.13,87.47,6.02,26.78,32.27,26.25,29.06,2.6,4.56
23.68501,90.35631,2020,7,1,4.58,21.95,89.29,4.36,26.62,31.13,26.77,28.55,1.92,5.62
23.68501,90.35631,2020,7,2,2.68,22.59,90.73,4.26,27.07,31.07,26.81,28.74,1.76,5.23
23.68501,90.35631,2020,7,3,1.87,22.35,87.56,5.36,26.92,32,26.64,29.18,3.51,3.6
23.68501,90.35631,2020,7,4,11.58,22.4,89.55,4.86,26.94,31.81,26.95,28.82,3.09,4.51
23.68501,90.35631,2020,7,5,7.87,22.42,91.3,3.15,26.91,30.2,27.05,28.47,1.75,6.47
23.68501,90.35631,2020,7,6,7.08,22.77,91.01,3.94,27.18,31.09,27.15,28.8,2.98,6.74
23.68501,90.35631,2020,7,7,7.99,22.87,90.31,5.04,27.31,31.93,26.89,29.06,2.1,6.49
23.68501,90.35631,2020,7,8,4.55,22.55,89.24,4.87,27.09,31.97,27.1,29.04,2.98,4.92
23.68501,90.35631,2020,7,9,22.16,22.94,91.77,4.19,27.34,31.18,26.98,28.82,1.93,7.02
23.68501,90.35631,2020,7,10,17.65,22.99,91.08,3.91,27.37,31.21,27.29,28.98,3.19,7.99
23.68501,90.35631,2020,7,11,32.65,22.52,93.37,2.52,27,29.68,27.16,28.19,2.35,6.98
23.68501,90.35631,2020,7,12,28.81,22.21,91.13,3.95,26.79,30.64,26.7,28.38,1.66,6.35
23.68501,90.35631,2020,7,13,8.88,22.46,88.9,5.55,26.99,32.13,26.58,29,3.45,5.01
23.68501,90.35631,2020,7,14,14.06,21.74,90.54,4.62,26.46,30.91,26.29,28.16,1.63,6.17
23.68501,90.35631,2020,7,15,6.13,22.03,88.33,6.17,26.7,32.27,26.1,28.82,2.57,5.83
23.68501,90.35631,2020,7,16,3.92,21.82,87.11,5.72,26.54,31.98,26.26,28.89,2.23,5.2
23.68501,90.35631,2020,7,17,3.08,22.16,87.73,5.55,26.8,32.05,26.5,29.03,2.42,5.04
23.68501,90.35631,2020,7,18,8.89,22.32,92.03,3.57,26.92,30.38,26.81,28.35,0.99,5.41
23.68501,90.35631,2020,7,19,22.11,22.34,89.88,5.07,26.93,31.56,26.49,28.75,3.03,7
23.68501,90.35631,2020,7,20,36.42,22.37,94.09,2.78,26.93,29.54,26.76,27.98,2.03,7.23
23.68501,90.35631,2020,7,21,41.29,22.28,94.31,2.57,26.88,29.36,26.78,27.89,2.62,6.7
23.68501,90.35631,2020,7,22,40.21,21.37,92.31,3.81,26.17,29.68,25.87,27.54,3.88,4.93
23.68501,90.35631,2020,7,23,15.5,21.44,90.57,5.49,26.23,30.88,25.39,27.92,2.14,5.35
23.68501,90.35631,2020,7,24,8.9,21.74,91.44,4.2,26.51,30.46,26.26,28.04,1.9,5.2
23.68501,90.35631,2020,7,25,2.05,21.41,88.14,5.95,26.28,31.64,25.69,28.42,1.81,4.22
23.68501,90.35631,2020,7,26,1.45,22.1,86.14,6.14,26.81,32.46,26.32,29.34,3,3.69
23.68501,90.35631,2020,7,27,10.66,22.41,91.12,3.65,26.99,30.5,26.85,28.59,1.66,4.11
23.68501,90.35631,2020,7,28,22.01,21.99,88.93,5.01,26.68,31.47,26.46,28.68,3.59,4.5
23.68501,90.35631,2020,7,29,19.53,21.96,89.15,5.18,26.67,31.59,26.4,28.63,1.66,5.82
23.68501,90.35631,2020,7,30,1.91,21.93,88.54,4.87,26.66,31.29,26.42,28.73,2.61,4.22
23.68501,90.35631,2020,7,31,3.23,22.11,87.05,5.53,26.79,32.19,26.66,29.15,2.84,3.81
23.68501,90.35631,2020,8,1,4.41,22.65,86.11,5.97,27.17,32.97,27,29.71,3.35,2.55
23.68501,90.35631,2020,8,2,7.45,22.68,87.58,5.05,27.13,32.23,27.18,29.4,3.15,3.3
23.68501,90.35631,2020,8,3,6.97,22.68,81.15,6.08,27.12,33.64,27.56,30.65,2.6,1.75
23.68501,90.35631,2020,8,4,19.31,22.98,89.5,5.98,27.21,32.71,26.73,29.11,6.47,5.39
23.68501,90.35631,2020,8,5,14.98,22.47,89.7,5.33,26.9,32.05,26.72,28.76,5.88,8.42
23.68501,90.35631,2020,8,6,5.57,22.08,92.55,3.59,26.7,30.13,26.54,28.03,1.63,6.77
23.68501,90.35631,2020,8,7,8.88,22.48,89.26,4.74,27.02,31.94,27.2,28.96,2.15,5.82
23.68501,90.35631,2020,8,8,3.83,22.45,88.86,5.2,26.98,32,26.8,28.99,2.33,5.54
23.68501,90.35631,2020,8,9,2.82,22.37,90.54,4.66,26.91,31.35,26.69,28.61,2.39,5.54
23.68501,90.35631,2020,8,10,2.28,22.58,89.93,5.69,27.08,32.09,26.4,28.9,2.07,5.2
23.68501,90.35631,2020,8,11,21.88,22.83,90.12,4.74,27.25,31.62,26.88,29.04,3.03,5.21
23.68501,90.35631,2020,8,12,17.02,22.96,88.99,5.59,27.36,32.6,27.01,29.35,2.55,5.36
23.68501,90.35631,2020,8,13,3.56,22.55,88.17,5.17,27.05,32.17,27,29.19,1.6,5.45
23.68501,90.35631,2020,8,14,4.27,22.31,88.2,5.21,26.83,31.82,26.61,28.97,4.8,4.98
23.68501,90.35631,2020,8,15,18.29,21.65,90.3,5.46,26.31,31.38,25.92,28.04,7.13,7.95
23.68501,90.35631,2020,8,16,10.78,22,91.85,3.72,26.59,30.15,26.44,28.04,2.7,7.75
23.68501,90.35631,2020,8,17,18.73,21.9,90.86,5.01,26.53,31.22,26.2,28.17,1.97,7.09
23.68501,90.35631,2020,8,18,7.04,21.97,90.25,5.08,26.59,31.21,26.12,28.34,1.47,5.71
23.68501,90.35631,2020,8,19,5.39,21.52,92.36,3.15,26.23,29.36,26.21,27.59,2.82,7.34
23.68501,90.35631,2020,8,20,18.77,20.82,93.67,3.04,25.72,28.81,25.77,26.84,3.18,8.37
23.68501,90.35631,2020,8,21,13.74,20.85,93.17,3.1,25.8,28.88,25.78,27.01,2.85,6.83
23.68501,90.35631,2020,8,22,25.7,20.83,91.43,3.66,25.79,29.49,25.83,27.31,4.32,4.73
23.68501,90.35631,2020,8,23,11.25,21.14,89.27,5.36,26.02,30.87,25.51,27.95,2.3,4.01
23.68501,90.35631,2020,8,24,14.67,21.54,87.48,6.39,26.32,31.87,25.49,28.59,1.12,3.58
23.68501,90.35631,2020,8,25,8.81,21.72,92.23,4.41,26.44,30.31,25.9,27.83,4.85,4.94
23.68501,90.35631,2020,8,26,3.49,21.05,90.89,4.5,25.93,30.28,25.78,27.56,8.3,9.89
23.68501,90.35631,2020,8,27,10.63,21.32,92.64,3.66,26.15,29.64,25.99,27.46,1.75,6.54
23.68501,90.35631,2020,8,28,13.85,21.32,88.76,5.64,26.16,31.25,25.61,28.18,2.11,5.15
23.68501,90.35631,2020,8,29,9,21.63,87.93,5.94,26.4,31.76,25.82,28.59,2.09,4.75
23.68501,90.35631,2020,8,30,6.1,22.11,88.43,5.69,26.78,31.9,26.21,28.87,1.95,4.4
23.68501,90.35631,2020,8,31,7.88,22.19,88.25,5.08,26.85,31.55,26.47,28.97,2.52,2.87
23.68501,90.35631,2020,9,1,19.18,21.59,90.55,3.87,26.39,30.04,26.18,28.08,2.92,3.65
23.68501,90.35631,2020,9,2,24.75,20.96,87.85,6.35,25.95,31.57,25.23,28.14,2.41,4.22
23.68501,90.35631,2020,9,3,6.1,20.89,84.68,7.27,25.93,32.41,25.14,28.74,3.46,3.31
23.68501,90.35631,2020,9,4,5.19,21.46,83.98,7.02,26.36,32.75,25.74,29.31,2.85,2.78
23.68501,90.35631,2020,9,5,0.32,21.92,85.71,6.17,26.67,32.56,26.39,29.28,2.81,4.49
23.68501,90.35631,2020,9,6,1.62,21.99,89.59,4.98,26.7,31.26,26.28,28.57,1.55,5.42
23.68501,90.35631,2020,9,7,5.73,21.68,89.18,5.12,26.47,31.46,26.34,28.42,1.35,4.88
23.68501,90.35631,2020,9,8,8.11,21.39,88.36,5.09,26.26,31.1,26.02,28.36,2.56,4
23.68501,90.35631,2020,9,9,4.03,21.55,87.06,6.29,26.38,32.17,25.88,28.73,3.17,3.97
23.68501,90.35631,2020,9,10,17.98,22.13,91.19,3.8,26.76,30.61,26.81,28.34,2.26,4.93
23.68501,90.35631,2020,9,11,13.64,21.62,87.37,5.58,26.41,31.87,26.29,28.7,2.35,4.63
23.68501,90.35631,2020,9,12,9.45,21.73,89,5.56,26.52,31.45,25.88,28.51,2.55,4.12
23.68501,90.35631,2020,9,13,16.39,21.82,90.85,4.7,26.59,31.17,26.47,28.23,1.68,4.49
23.68501,90.35631,2020,9,14,5.33,21.57,90.18,4.8,26.39,30.84,26.04,28.15,2.44,4.27
23.68501,90.35631,2020,9,15,8.65,21.74,90.39,4.91,26.51,30.93,26.02,28.24,2.44,3.94
23.68501,90.35631,2020,9,16,3.05,21.58,91.07,3.85,26.38,30.23,26.38,27.98,0.93,5.14
23.68501,90.35631,2020,9,17,10.47,21.89,90.94,4.57,26.61,30.77,26.2,28.24,3.03,4.32
23.68501,90.35631,2020,9,18,1.25,21.16,81.6,6.56,26.08,32.8,26.24,29.5,3.55,1.45
23.68501,90.35631,2020,9,19,5.15,22.31,87.08,6.27,26.87,32.57,26.31,29.23,3.74,3.27
23.68501,90.35631,2020,9,20,4.22,23.29,87.63,6.06,27.57,33.39,27.32,29.82,3.66,3.8
23.68501,90.35631,2020,9,21,20.18,22.36,92.62,3.02,26.89,30.1,27.08,28.21,3.13,6.74
23.68501,90.35631,2020,9,22,17.81,22.55,93.92,2.84,27.07,29.93,27.09,28.16,2.94,7.27
23.68501,90.35631,2020,9,23,22.25,22.25,94.43,2.46,26.88,29.42,26.96,27.87,1.38,6.22
23.68501,90.35631,2020,9,24,17.44,21.94,94.61,2.58,26.66,29.05,26.47,27.62,1.46,6.28
23.68501,90.35631,2020,9,25,33.23,22.18,95.16,2.89,26.81,29.29,26.4,27.67,2.14,5.98
23.68501,90.35631,2020,9,26,44.62,22.11,94.61,3.46,26.74,29.67,26.21,27.69,2.78,7.06
23.68501,90.35631,2020,9,27,9.99,21.57,91.52,4.34,26.36,30.42,26.08,27.87,1.94,4.93
23.68501,90.35631,2020,9,28,1.59,21.15,86.72,6,26.06,31.62,25.62,28.47,3.58,2.85
23.68501,90.35631,2020,9,29,0.2,21.08,85.47,5.59,26,31.39,25.8,28.65,1.88,2.03
23.68501,90.35631,2020,9,30,1.14,21.01,85.46,4.78,25.94,31.29,26.51,28.59,4.47,1.89
23.68501,90.35631,2020,10,1,18.29,21.29,91.18,3.94,26.12,29.94,26,27.69,3.3,3.65
23.68501,90.35631,2020,10,2,22.65,21.22,90.49,4.39,26.09,30.13,25.75,27.79,1.22,2.83
23.68501,90.35631,2020,10,3,9.74,21.42,89.15,4.94,26.26,30.87,25.92,28.22,1.65,2.79
23.68501,90.35631,2020,10,4,8.57,21.13,89.55,4.51,26.04,30.33,25.83,27.92,1.48,2.8
23.68501,90.35631,2020,10,5,16.86,21,90.83,4.33,25.93,29.98,25.66,27.57,1.98,3.19
23.68501,90.35631,2020,10,6,41.12,19.97,89.77,3.82,25.13,29.19,25.37,26.95,0.89,3.8
23.68501,90.35631,2020,10,7,15.03,20.15,88.84,5.84,25.3,30.41,24.56,27.3,1.53,2.87
23.68501,90.35631,2020,10,8,14.86,20.13,81.98,7.28,25.33,32.01,24.73,28.65,3.11,1.65
23.68501,90.35631,2020,10,9,0.36,21.13,83.18,6.62,26.11,32.53,25.92,29.22,2.45,1.94
23.68501,90.35631,2020,10,10,0.07,21.33,83.12,5.88,26.25,32.35,26.47,29.37,1.49,1.72
23.68501,90.35631,2020,10,11,3.39,21.06,81.42,6.42,26.04,32.75,26.33,29.49,2.89,1.65
23.68501,90.35631,2020,10,12,7.66,20.64,80.53,6.81,25.7,32.67,25.86,29.33,2.43,1.23
23.68501,90.35631,2020,10,13,5.81,20.61,79.13,6.74,25.7,32.93,26.19,29.62,1.87,1.21
23.68501,90.35631,2020,10,14,5.7,20.98,82.92,5.95,25.97,32.42,26.48,29.12,3.62,1.83
23.68501,90.35631,2020,10,15,1.24,20.64,80.5,6.55,25.72,33.13,26.58,29.36,3.28,1.79
23.68501,90.35631,2020,10,16,1.65,20.52,80.28,6.57,25.62,32.61,26.04,29.3,1.9,1.83
23.68501,90.35631,2020,10,17,0.33,20.69,82.22,6.82,25.74,32.48,25.66,29.03,2.04,2.11
23.68501,90.35631,2020,10,18,2,20.53,84.51,5.09,25.61,31.25,26.16,28.44,3.2,1.9
23.68501,90.35631,2020,10,19,0.62,19.7,81.56,6.37,24.94,31.48,25.11,28.34,3.79,1.81
23.68501,90.35631,2020,10,20,3.2,19.89,84.81,6.8,25.08,31.5,24.7,27.84,3.11,2.79
23.68501,90.35631,2020,10,21,19.35,20.3,93.44,3.61,25.39,28.59,24.99,26.54,2.77,3.9
23.68501,90.35631,2020,10,22,63.3,19.61,95.29,2.81,24.79,27.18,24.37,25.61,3.47,5.28
23.68501,90.35631,2020,10,23,96.07,19.75,95.5,3.97,24.84,27.66,23.69,25.63,3.78,4.09
23.68501,90.35631,2020,10,24,3.24,19.46,91.34,4.87,24.64,29.11,24.24,26.18,3.12,4.84
23.68501,90.35631,2020,10,25,2.93,18.41,84.98,6.18,23.84,29.91,23.73,26.55,1.46,2.01
23.68501,90.35631,2020,10,26,0.82,18.25,83.39,7.12,23.72,30.26,23.13,26.74,2.37,2.13
23.68501,90.35631,2020,10,27,0,17.75,85.02,7.32,23.24,29.86,22.54,25.93,2.62,3.27
23.68501,90.35631,2020,10,28,0,17.66,85.22,8.21,23.17,29.99,21.79,25.82,3.21,3.49
23.68501,90.35631,2020,10,29,0.29,18.62,83.91,8.65,24.05,31.38,22.73,26.96,3.22,2.64
23.68501,90.35631,2020,10,30,1.64,20.09,86.76,7.42,25.26,31.26,23.84,27.65,2.34,3.48
23.68501,90.35631,2020,10,31,24.77,19.89,94.03,3.47,25.08,27.94,24.48,26.13,3.98,4.05
23.68501,90.35631,2020,11,1,18.11,18.19,88.68,4.32,23.65,28.07,23.75,25.65,4.92,3.18
23.68501,90.35631,2020,11,2,8.65,18.5,85.35,6.57,23.95,29.87,23.3,26.59,1.68,1.28
23.68501,90.35631,2020,11,3,3.29,18.81,84.37,5.71,24.23,30.18,24.47,27.06,2.75,0.98
23.68501,90.35631,2020,11,4,1.2,14.76,77.56,6.84,20.33,28.03,21.19,24.44,1.91,2.95
23.68501,90.35631,2020,11,5,0,11.68,66.3,10.68,16.69,29.31,18.63,23.21,3.12,2.67
23.68501,90.35631,2020,11,6,0,11.19,71.79,9.7,16.03,26.44,16.74,21.24,3.03,3.12
23.68501,90.35631,2020,11,7,0,12.29,76.9,11.85,17.47,27.54,15.69,21.63,2.95,3.29
23.68501,90.35631,2020,11,8,0,13.55,77.49,11.16,19.01,28.69,17.53,23.1,3.06,2.35
23.68501,90.35631,2020,11,9,0,14.68,78,10.04,20.27,29.22,19.18,24.29,2.25,1.99
23.68501,90.35631,2020,11,10,0,15.01,81.69,9.86,20.6,28.74,18.88,23.88,2.2,2.77
23.68501,90.35631,2020,11,11,0,14.8,81.56,10.28,20.39,29.21,18.93,23.69,2.43,3.37
23.68501,90.35631,2020,11,12,0,14.92,79.35,10.87,20.54,29.83,18.97,24.28,3.61,2.35
23.68501,90.35631,2020,11,13,0,16.2,84.74,9.55,21.82,29.7,20.15,24.53,3.01,3.37
23.68501,90.35631,2020,11,14,0,15.7,85.82,8.91,21.3,28.89,19.98,23.8,2.39,3.74
23.68501,90.35631,2020,11,15,0,14.84,84.56,9.8,20.39,28.29,18.49,23.12,4.04,3.38
23.68501,90.35631,2020,11,16,0,15.02,83.5,9.38,20.59,28.54,19.16,23.52,4.15,2.32
23.68501,90.35631,2020,11,17,0,14.86,82.83,8.1,20.4,27.59,19.49,23.46,3.01,3.1
23.68501,90.35631,2020,11,18,0,13.4,75.11,8.8,18.82,27.29,18.49,23.4,3.07,2.22
23.68501,90.35631,2020,11,19,0,13.24,76.56,8.62,18.61,27.03,18.4,22.87,3.73,1.85
23.68501,90.35631,2020,11,20,1.44,14.55,82.48,9.5,20.07,28.13,18.62,23.19,3.45,2.68
23.68501,90.35631,2020,11,21,8.71,15.15,85.28,7.72,20.69,27.48,19.76,23.29,3.3,2.09
23.68501,90.35631,2020,11,22,1.55,11.68,76.26,8.66,16.67,25.19,16.53,20.93,2.96,4.24
23.68501,90.35631,2020,11,23,0.2,9.68,75.65,10.93,13.77,23.86,12.92,18.08,2.45,4.27
23.68501,90.35631,2020,11,24,0,10.95,79.85,11.93,15.64,25.02,13.09,19.16,3.31,2.61
23.68501,90.35631,2020,11,25,0,12.16,83.66,11.35,17.26,25.83,14.49,20.09,2.56,2.6
23.68501,90.35631,2020,11,26,0,12.8,86.65,9.57,18.05,25.65,16.08,20.34,2.94,2.85
23.68501,90.35631,2020,11,27,0,13.08,86.25,9.74,18.4,26.09,16.34,20.77,3.55,3.63
23.68501,90.35631,2020,11,28,0,13.23,88.01,9.72,18.58,26.32,16.6,20.64,3.17,4.42
23.68501,90.35631,2020,11,29,0,12.59,86.68,11.12,17.8,26.41,15.3,20.08,4.19,4.52
23.68501,90.35631,2020,11,30,0,11.94,83.13,12.13,16.98,26.32,14.19,19.9,5.35,3.48
23.68501,90.35631,2020,12,1,0,12.46,83.15,11.31,17.65,26.44,15.13,20.58,3.82,2.65
23.68501,90.35631,2020,12,2,0,12.28,80.46,9.78,17.41,25.99,16.21,20.85,2.86,2.21
23.68501,90.35631,2020,12,3,0,11.98,77.45,9.09,17.03,25.84,16.76,21.06,1.72,1.97
23.68501,90.35631,2020,12,4,0,11.34,76.31,9.39,16.18,25.37,15.98,20.42,2.14,2.09
23.68501,90.35631,2020,12,5,0,11.19,75.71,8.44,15.99,24.87,16.43,20.35,1.46,1.69
23.68501,90.35631,2020,12,6,0,11.58,77,9.04,16.54,25.12,16.08,20.65,1.68,1.5
23.68501,90.35631,2020,12,7,0,11.94,82.6,9.4,17,25.12,15.72,20.03,3.55,1.76
23.68501,90.35631,2020,12,8,0,12.15,87.15,8.92,17.24,24.35,15.43,19.43,3.33,2.56
23.68501,90.35631,2020,12,9,0,11.65,82.03,7.93,16.59,24.03,16.1,19.72,2.14,1.25
23.68501,90.35631,2020,12,10,0,11.48,81.32,7.96,16.35,23.93,15.97,19.6,1.41,1.18
23.68501,90.35631,2020,12,11,0.01,11.18,82.65,8.18,15.94,23.36,15.18,18.93,1.23,1.83
23.68501,90.35631,2020,12,12,0,10.95,83.71,7.76,15.59,22.8,15.04,18.38,2.93,1.95
23.68501,90.35631,2020,12,13,0,11.35,81.15,8.83,16.14,24.13,15.3,19.43,2.09,1.58
23.68501,90.35631,2020,12,14,0,11.44,82.51,9.2,16.29,24.2,15,19.32,2.44,2.38
23.68501,90.35631,2020,12,15,0,11.01,84.98,9.48,15.7,23.75,14.28,18.26,3.38,3.85
23.68501,90.35631,2020,12,16,0,10.93,82.31,8.82,15.61,23.88,15.05,18.66,1.97,3.95
23.68501,90.35631,2020,12,17,0,11.01,84.01,9.8,15.7,23.81,14.01,18.44,2.64,3.56
23.68501,90.35631,2020,12,18,0,9.25,77.94,9.29,13.06,22.27,12.98,16.89,3.48,3.55
23.68501,90.35631,2020,12,19,0,7.58,76.57,10.57,10.08,20.09,9.52,14.09,2.54,4.69
23.68501,90.35631,2020,12,20,0,8.05,81.91,12.72,10.95,20.67,7.95,13.97,3.94,4.25
23.68501,90.35631,2020,12,21,0,9.24,82.05,12.37,13.01,22.39,10.02,16.06,4.42,2.73
23.68501,90.35631,2020,12,22,0,9.54,78.63,10.83,13.5,22.87,12.04,17.2,3.39,1.74
23.68501,90.35631,2020,12,23,4.85,9.81,80.35,10.98,13.92,23.01,12.03,17.3,1.93,2.26
23.68501,90.35631,2020,12,24,0,10.21,81.11,11.03,14.51,23.48,12.45,17.76,2.49,2.42
23.68501,90.35631,2020,12,25,0,10.26,84.37,10.84,14.59,23.32,12.48,17.24,3.28,3.68
